image_id,file_name,entropy,entropy_quartile,spatial_spread,entropy_rank,entropy_percentile,entropy_group,binary_group,caption,chair_i,is_hallucinating
27982,000000027982.jpg,6.278231620788574,1,0.4371357589085818,1,0.002,low_entropy,clean,"The image features a white toilet situated in a bathroom. The toilet is placed next to a sink, which is located on the right side of the bathroom. Above the sink, there is a mirror, providing a functional and aesthetically pleasing space.

In addition to the toilet and sink, there are two bottles placed in the bathroom. One bottle is located near the left side of the toilet",0.3333,True
118594,000000118594.jpg,6.280588150024414,1,0.4186074766888941,2,0.004,low_entropy,clean,"The image features two longhorn cattle standing in a grassy field. One of the cows is positioned closer to the left side of the field, while the other is more towards the right side. Both cows have long horns, which are prominently visible.

The field is fenced in, providing a secure environment for the cattle. The scene is set in a pasture, where the cows can graze and roam freely.",0.0,False
85329,000000085329.jpg,6.282041549682617,1,0.4096778335590215,3,0.006,low_entropy,clean,"The image features a woman with a unique appearance, as she is wearing a nose ring and has a tattoo on her face. She is dressed in a white shirt, which contrasts with her red hair. The woman is posing for the camera, possibly in a dark room, as the lighting emphasizes her features. The image showcases her individuality and personal style.",0.0,False
348216,000000348216.jpg,6.28269624710083,1,0.4356931977154976,4,0.008,low_entropy,clean,"The image features a room with a row of old-fashioned wooden bathtubs. There are five bathtubs in total, arranged in a line along the wall. The room appears to be a bathroom, with the bathtubs being the main focus. The wooden bathtubs are placed close to each other, creating a cohesive and organized appearance.",0.0,False
249180,000000249180.jpg,6.283583641052246,1,0.4443246752635328,5,0.01,low_entropy,clean,"The image features two men walking up a flight of stairs, likely in a city setting. One man is walking up the stairs, while the other is walking down the stairs. Both men are wearing ties, which suggests a formal or professional attire.

The stairs are located in front of a brick building, which adds to the urban atmosphere. The scene also includes a cell phone, possibly belonging to one of the men, and a handbag",0.3333,True
450439,000000450439.jpg,6.288117408752441,1,0.4319869741307077,6,0.012,low_entropy,clean,"The image features a kite flying high in the blue sky. The kite is shaped like the American flag, with red, white, and blue colors. The kite is soaring above the ground, creating a patriotic atmosphere. The sky is clear, allowing the kite to be the main focus of the scene.",0.0,False
46804,000000046804.jpg,6.290102958679199,1,0.4097161448334778,7,0.014,low_entropy,clean,"The image features a large, fluffy white sheep standing in a grassy field. The sheep is positioned towards the center of the scene, with its body facing the camera. The grassy field extends from the foreground to the background, providing a natural setting for the sheep.",0.0,False
202228,000000202228.jpg,6.292134761810303,1,0.414067851889373,8,0.016,low_entropy,clean,"The image features a man standing in a bathroom, taking a selfie with his cell phone. He is wearing a red jacket, which adds a pop of color to the scene. The man is positioned in the mirror, capturing the reflection of himself. The bathroom appears to be well-lit, with the man being the main focus of the scene.",0.5,True
350833,000000350833.jpg,6.292326927185059,1,0.4497941761351964,9,0.018,low_entropy,clean,"The image features a small, clean bathroom with a white toilet and a white bathtub. The toilet is located on the left side of the bathroom, while the bathtub is situated on the right side. The bathroom is equipped with a sink, which is placed on the left side of the room.

There are two toilet paper rolls in the bathroom, one located near the toilet and the other",0.0,False
370478,000000370478.jpg,6.29350471496582,1,0.4197461758192131,10,0.02,low_entropy,clean,"The image features a bedroom with a laptop computer placed on the floor. Next to the laptop, there is a black backpack and a suitcase, possibly indicating that someone is preparing for a trip. The room also contains a dresser with several books scattered around, as well as a bed in the background. The scene suggests a busy and active environment.",0.0,False
577864,000000577864.jpg,6.293760299682617,1,0.4130790077038922,11,0.022,low_entropy,clean,"The image features a group of people playing soccer on a dirt field. There are at least five people in the scene, with some of them actively engaged in the game. One person is wearing a red jacket, which stands out among the other players.

A sports ball is visible in the middle of the field, indicating that the game is in progress. The players are spread out across the field, with some closer to the ball and others further away",0.0,False
7784,000000007784.jpg,6.294219493865967,1,0.4014084879992152,12,0.024,low_entropy,clean,"The image features a colorful kite flying high in the blue sky. The kite is large and has a distinctive design, making it stand out against the backdrop of the clear sky. The kite is positioned towards the left side of the image, with its tail extending towards the right side. The scene is serene and captures the essence of outdoor leisure activities.",0.0,False
302990,000000302990.jpg,6.294268608093262,1,0.4132606843623308,13,0.026,low_entropy,clean,"The image captures a man skillfully riding a wave on a surfboard. He is wearing a black wetsuit, which helps him maintain body temperature in the water. The surfer is in the middle of the wave, showcasing his talent and balance.

In the background, there are two other people, one on the left side and the other on the right side of the image. They seem to be watching the main surfer as he",0.0,False
87875,000000087875.jpg,6.295072078704834,1,0.4304181617094497,14,0.028,low_entropy,clean,"The image features a fire hydrant situated in a grassy area. The fire hydrant is surrounded by greenery, with a tree and bushes nearby. The hydrant is positioned close to the edge of the grassy field, making it easily accessible. The scene is set in a park-like environment, providing a peaceful atmosphere.",0.0,False
222118,000000222118.jpg,6.295177459716797,1,0.4088603040212697,15,0.03,low_entropy,clean,"The image features a woman standing outside, talking on her cell phone. She is wearing a black shirt and holding a handbag. The scene is set against a brick wall, which adds a unique backdrop to the picture. The woman appears to be engaged in a conversation, possibly discussing her day or sharing some news with the person on the other end of the line.",0.0,False
776,000000000776.jpg,6.29545783996582,1,0.4258299242264394,16,0.032,low_entropy,clean,"The image features a group of teddy bears sitting together on a bed. There are five teddy bears in total, with some of them appearing to be in a pile. The bears are of various sizes and colors, creating a cozy and playful atmosphere. The bed occupies the majority of the scene, with the teddy bears spread out across its surface.",0.0,False
355817,000000355817.jpg,6.295865058898926,1,0.4210609654275691,17,0.034,low_entropy,clean,"The image features a large yellow and red bus driving down a street. The bus is positioned in the middle of the scene, occupying a significant portion of the image.

There are several people visible in the scene, with some standing near the bus and others scattered throughout the image. A few of these individuals are carrying handbags, which can be seen in various locations.

In the background, there are two buildings, one on the left side and the",0.0,False
83172,000000083172.jpg,6.296353340148926,1,0.4365471126432884,18,0.036,low_entropy,clean,"The image features a woman playing tennis on a court. She is holding a tennis racket and is in the middle of a swing, preparing to hit the ball. The tennis ball is in the air, close to the woman.

There are two other people in the scene, one standing near the left side of the court and the other person located on the right side. A chair is also visible on the right side of the court.",0.0,False
263860,000000263860.jpg,6.296647071838379,1,0.4265220530374591,19,0.038,low_entropy,clean,"The image features two elephants standing in a grassy field, engaging in a playful interaction. One elephant is on the left side of the image, while the other is on the right side. They appear to be playfully fighting or interacting with each other, possibly as a form of social bonding. The scene is set in a natural environment with grass and trees in the background.",0.0,False
551815,000000551815.jpg,6.29695463180542,1,0.4191988262531717,20,0.04,low_entropy,clean,"The image features two cats lying down together on a bed. One cat is positioned on the left side of the bed, while the other cat is on the right side. They appear to be enjoying each other's company and are comfortably resting on the bed. The scene is cozy and showcases the bond between the two cats.",0.0,False
