image_id,file_name,entropy,entropy_quartile,spatial_spread,entropy_rank,entropy_percentile,entropy_group,binary_group,caption,chair_i,is_hallucinating,n_mentioned,n_hallucinated
27982,000000027982.jpg,6.278231620788574,1,0.4371357589085818,1,0.002,low_entropy,clean,"The image features a white toilet situated in a bathroom. The toilet is placed next to a sink, which is located on the right side of the bathroom. Above the sink, there is a mirror, providing a functional and aesthetically pleasing space.

In addition to the toilet and sink, there are two bottles placed on the left side of the bathroom, possibly containing toiletries or cleaning supplies",0.0,False,2,0
118594,000000118594.jpg,6.280588150024414,1,0.4186074766888941,2,0.004,low_entropy,clean,"The image features two large, long-horned cattle standing in a grassy field. One of the cows is positioned closer to the left side of the field, while the other is more towards the right side. The cows are grazing on the grass, enjoying the open space.

In the background, there is a fence that separates the field from the surrounding area. The scene is a peaceful representation of rural life and the natural habitat",0.0,False,0,0
85329,000000085329.jpg,6.282041549682617,1,0.4096778335590215,3,0.006,low_entropy,clean,"The image features a woman with a unique appearance, including a nose piercing and a tattoo on her face. She is wearing a white shirt and has a black choker necklace. The woman is also wearing a pair of glasses, which adds to her distinctive look. The scene is set in a dark room, with the woman standing in the center of the image.",0.0,False,1,0
348216,000000348216.jpg,6.28269624710083,1,0.4356931977154976,4,0.008,low_entropy,clean,"The image features a room with a row of five old-fashioned wooden bath tubs lined up against the wall. The tubs are arranged in a neat row, with each tub varying in size. The room appears to be a bathroom, and the tubs are likely used for bathing or relaxation. The overall atmosphere of the room is somewhat dark, giving it a somewhat eerie appearance.",0.0,False,0,0
249180,000000249180.jpg,6.283583641052246,1,0.4443246752635328,5,0.01,low_entropy,clean,"The image features two men walking up a flight of stairs, likely in a city setting. One man is walking up the stairs, while the other is walking down the stairs. Both men are carrying handbags, with one handbag being held by the man walking up the stairs and the other handbag being held by the man walking down the stairs. The scene is captured in black and white, giving it a classic and timeless feel.",0.5,True,2,1
450439,000000450439.jpg,6.288117408752441,1,0.4319869741307077,6,0.012,low_entropy,clean,"The image features a kite flying high in the blue sky. The kite is shaped like the American flag, with red, white, and blue colors. The kite is soaring in the air, with the blue sky serving as the perfect backdrop. The scene is a beautiful representation of the national flag, showcasing the kite's design and the clear day.",0.0,False,1,0
46804,000000046804.jpg,6.290102958679199,1,0.4097161448334778,7,0.014,low_entropy,clean,"The image features a large, fluffy white sheep standing in a grassy field. The sheep is positioned in the middle of the scene, occupying a significant portion of the image. The grassy field extends from the foreground to the background, providing a natural setting for the sheep.",0.0,False,1,0
202228,000000202228.jpg,6.292134761810303,1,0.414067851889373,8,0.016,low_entropy,clean,"The image features a man standing in front of a mirror, taking a picture of himself. He is wearing a red jacket, which adds a pop of color to the scene. The man is holding a cell phone, capturing the moment. The mirror reflects the man's image, creating a sense of depth in the image.",0.5,True,2,1
350833,000000350833.jpg,6.292326927185059,1,0.4497941761351964,9,0.018,low_entropy,clean,"The image features a small, clean bathroom with a white toilet and a white bathtub. The toilet is located on the left side of the bathroom, while the bathtub is situated on the right side. The bathroom is equipped with a sink, which is placed on the left side of the room.

There are two toilet paper rolls in the bathroom, one located near the toilet and the other",0.0,False,2,0
370478,000000370478.jpg,6.29350471496582,1,0.4197461758192131,10,0.02,low_entropy,clean,"The image features a room with a laptop placed on the floor, surrounded by various items. There are two suitcases, one located near the left side of the room and the other towards the right side. A backpack is also present in the room, situated close to the laptop.

In addition to the luggage, there are several books scattered throughout the room, with some placed on the floor and others on surfaces. A cup can be seen on the left side",0.25,True,4,1
577864,000000577864.jpg,6.293760299682617,1,0.4130790077038922,11,0.022,low_entropy,clean,"The image features a group of people playing soccer on a dirt field. There are at least five people in the scene, with one person in the foreground and the others scattered around the field.

A sports ball is visible in the middle of the field, indicating that the game is in progress. The players are actively engaged in the game, with some of them jumping in the air, possibly attempting to reach the ball. The scene captures the excitement",0.0,False,2,0
7784,000000007784.jpg,6.294219493865967,1,0.4014084879992152,12,0.024,low_entropy,clean,"The image features a large, colorful kite flying high in the blue sky. The kite is positioned towards the left side of the frame, with its tail extending towards the right side. The kite's vibrant colors and design make it stand out against the backdrop of the clear sky.",0.0,False,1,0
302990,000000302990.jpg,6.294268608093262,1,0.4132606843623308,13,0.026,low_entropy,clean,"The image captures a man skillfully riding a wave on a surfboard. He is wearing a wetsuit, which is visible as he glides through the water. The surfer is in the middle of the wave, showcasing his expertise in the sport.

In the background, there are two other people, one on the left side and the other on the right side of the image. They seem to be watching the main surfer",0.0,False,2,0
87875,000000087875.jpg,6.295072078704834,1,0.4304181617094497,14,0.028,low_entropy,clean,"The image features a fire hydrant situated in a grassy area. The fire hydrant is surrounded by greenery, with a tree and bushes nearby. The hydrant is positioned close to the edge of the grassy field, making it easily accessible. The scene is set in a park-like environment, providing a peaceful atmosphere.",0.0,False,1,0
222118,000000222118.jpg,6.295177459716797,1,0.4088603040212697,15,0.03,low_entropy,clean,"The image features a woman standing outside, talking on her cell phone. She is wearing a black shirt and holding a handbag. The scene is set against a brick wall, which adds a unique backdrop to the photo. The woman appears to be engaged in a conversation, possibly discussing her day or sharing some news with the person on the other end of the line.",0.0,False,3,0
776,000000000776.jpg,6.29545783996582,1,0.4258299242264394,16,0.032,low_entropy,clean,"The image features a group of teddy bears sitting together on a bed. There are five teddy bears in total, with some of them being brown and others being orange. They are arranged in a way that they are all facing the same direction, creating a cozy and inviting atmosphere. The teddy bears are positioned close to each other, forming a small circle on the bed.",0.3333,True,3,1
355817,000000355817.jpg,6.295865058898926,1,0.4210609654275691,17,0.034,low_entropy,clean,"The image features a red, yellow, and black passenger bus driving down a street. The bus is quite large, occupying a significant portion of the scene. The street is lined with buildings on both sides, creating an urban atmosphere.

There are several people visible in the scene, with some standing near the bus and others scattered throughout the area. A car can also be seen parked on the left side of the street. The overall scene is bustling with",0.3333,True,3,1
83172,000000083172.jpg,6.296353340148926,1,0.4365471126432884,18,0.036,low_entropy,clean,"The image features a woman playing tennis on a court. She is in the middle of a swing, holding a tennis racket in her hand. The tennis ball is in the air, close to the woman.

There are two other people in the scene, one standing near the left side of the court and the other person located on the right side. A chair is also visible on the right side of the court.",0.0,False,4,0
263860,000000263860.jpg,6.296647071838379,1,0.4265220530374591,19,0.038,low_entropy,clean,"The image features two large elephants standing in a grassy field, engaging in a playful interaction. One elephant is using its trunk to playfully bite the other elephant's trunk, creating a lively and friendly atmosphere between the two animals. The scene is set in a natural environment, with the elephants occupying the majority of the frame.",0.0,False,1,0
551815,000000551815.jpg,6.29695463180542,1,0.4191988262531717,20,0.04,low_entropy,clean,"The image features two cats lying down together on a bed. One cat is positioned on the left side of the bed, while the other cat is on the right side. They appear to be enjoying each other's company and are comfortably resting on the bed. The scene is cozy and showcases the bond between the two cats.",0.0,False,2,0
498286,000000498286.jpg,6.297074317932129,1,0.4403452389878149,21,0.042,low_entropy,clean,"The image features a small dog with a black collar, sitting in the foreground and looking towards the camera. The dog appears to be looking at the photographer, possibly with a hint of curiosity.

In the background, there is a car parked, which is partially visible on the right side of the image. The car is situated behind the dog, creating a contrast between the dog and the car.",0.0,False,2,0
