image_id,file_name,caption,chair_i,is_hallucinating,gt_objects,mentioned_objects,hallucinated_objects,n_gt,n_mentioned,n_hallucinated
776,000000000776.jpg,"The image features a group of teddy bears, with some of them sitting on top of each other. There are at least five teddy bears in the scene, with one large teddy bear occupying a significant portion of the image. The other teddy bears are smaller and scattered around the large teddy bear. The arrangement of the teddy bears creates a sense of warmth and comfort, as if they are huddled together for a cozy moment.",0.5,True,bed|teddy bear,bear|teddy bear,bear,2,2,1
785,000000000785.jpg,"The image features a woman wearing a red jacket and ski gear, standing on a snow-covered slope. She is holding ski poles and appears to be enjoying her time on the mountain. The woman is the main focus of the scene, and she is surrounded by a few other people who are also skiing on the slope.

There are several pairs of skis visible in the image, with one pair located near the woman in the red jacket, another pair further down the slope, and a third pair closer to the right side of the image. The presence of multiple skiers and skis suggests that this is a popular skiing spot.",0.0,False,person|skis,person|skis,,2,2,0
872,000000000872.jpg,"The image captures a baseball game in progress, with two men playing the game. One of the men is wearing a baseball glove, ready to catch the ball. The other man is running towards the ball, possibly trying to score a point.

In the background, there are trees and a bench, providing a natural setting for the game. The players are actively engaged in the game, showcasing their athletic abilities.",0.25,True,baseball glove|person|sports ball,baseball glove|bench|person|sports ball,bench,3,4,1
1353,000000001353.jpg,"The image features a group of children riding on a small train, which is designed to look like a carousel. The train is carrying the children around a room, providing them with a fun and engaging experience. There are several children visible in the scene, with some sitting closer to the front of the train and others further back. The train appears to be a popular attraction for the children, as they all seem to be enjoying their time on it.",0.0,False,person|train,train,,2,1,0
1532,000000001532.jpg,"The image depicts a busy highway with multiple cars and trucks driving under a bridge. There are at least nine cars and two trucks visible in the scene, with some cars positioned closer to the foreground and others further back. The vehicles are moving in various directions, creating a sense of traffic flow.

In addition to the vehicles, there are two people in the scene, one standing near the center of the image and the other closer to the right side. A dog can also be seen in the middle of the scene, possibly accompanying one of the people. The presence of these elements adds to the overall bustling atmosphere of the highway.",1.0,True,car|truck,dog|person,dog|person,2,2,2
1675,000000001675.jpg,"The image features a black and white cat lying on a laptop computer. The cat is positioned on the keyboard, occupying a significant portion of the laptop's surface. The laptop is placed on a desk, and the cat appears to be enjoying its time on the computer.",0.5,True,cat|keyboard,cat|dining table|keyboard|laptop,dining table|laptop,2,4,2
1993,000000001993.jpg,"The image features a bedroom with a bed situated in the middle of the room. The bed is covered with a colorful comforter, and there is a chair placed nearby. A dining table is located in the corner of the room, and a window can be seen in the background.

In addition to the main furniture, there are two chairs in the room, one near the bed and the other closer to the dining table. A clock is mounted on the wall, and a remote control is placed on the bed. The room also has a purple color scheme, adding a unique touch to the space.",0.4,True,bed|chair|dining table,bed|chair|clock|dining table|remote,clock|remote,3,5,2
5992,000000005992.jpg,"The image features a group of sheep standing in a grassy field. There are three sheep in total, with one on the left side, one in the middle, and another on the right side of the field. The sheep are positioned close to each other, creating a sense of unity among them.

In addition to the sheep, there are two people in the scene. One person is standing near the left side of the field, while the other person is located closer to the right side. The presence of these individuals suggests that they might be tending to the sheep or simply enjoying the outdoors.",0.5,True,sheep,person|sheep,person,1,2,1
7784,000000007784.jpg,"The image features a large, colorful kite flying high in the sky. The kite is shaped like a parachute and has a red and white design. The kite is soaring above a clear blue sky, creating a beautiful and vibrant scene.",0.0,False,kite,kite,,1,1,0
8021,000000008021.jpg,"The image features a man wearing a suit and tie, standing in front of a large screen. He appears to be giving a presentation or speech, possibly at a conference or event. The man is positioned towards the center of the scene, and the screen is located on the left side of the image.

There are two chairs in the scene, one located on the right side of the image and the other towards the bottom right corner. Additionally, there is a person visible in the bottom left corner of the image, possibly a fellow attendee or a member of the audience.",0.3333,True,bottle|person|tie,person|tie|tv,tv,3,3,1
10092,000000010092.jpg,"The image features a bedroom with a large bed that has a mosquito net draped over it. The bed is positioned in the center of the room, and the mosquito net is covering the entire bed, providing a unique and interesting design.

In addition to the bed, there are two chairs in the room, one located near the left side and the other near the right side. A person can be seen standing in the room, possibly admiring the bed or the mosquito net.

There are also two potted plants in the room, one on the left side and the other on the right side. A vase is placed on the left side of the room, and a book is",0.75,True,bed|bird|chair|dining table,bed|book|person|vase,book|person|vase,4,4,3
11051,000000011051.jpg,"The image features a young man and a young woman standing next to each other. The young man is wearing a black suit and a tie, while the young woman is wearing a black dress. The woman is adjusting the young man's tie, ensuring it is properly placed.

In the background, there is a potted plant located on the left side of the scene. The overall atmosphere of the image suggests a formal event or a special occasion.",0.3333,True,person|tie,person|potted plant|tie,potted plant,2,3,1
11149,000000011149.jpg,"The image features a group of bicycles parked on the side of a road. There are three bicycles in total, with one located on the left side, another in the middle, and the third on the right side of the scene. 

In addition to the bicycles, there are two motorcycles parked nearby. One motorcycle is positioned on the left side of the scene, while the other is located on the right side. 

There are also two people in the scene, one standing closer to the left side and the other near the right side. A handbag can be seen placed on the ground near the right side of the image.",0.3333,True,bicycle|motorcycle|person,handbag|motorcycle|person,handbag,3,3,1
11615,000000011615.jpg,"The image features a street sign with multiple signs pointing in different directions. The signs are placed on a pole, and they are all pointing towards a bus stop. The street sign is located near a forest, adding a natural element to the scene.

There are no people or animals visible in the image, making it a quiet and peaceful setting.",1.0,True,truck,bus|person,bus|person,1,2,2
13291,000000013291.jpg,"The image features a group of four young men posing together in a grassy field. They are all holding frisbees, with a total of five frisbees visible in the scene. The men are standing close to each other, with one man on the left side, another in the middle, and the remaining two on the right side of the group. The frisbees are held at various heights and angles, showcasing the different positions of the men and the frisbees.",0.0,False,frisbee|person,person,,2,1,0
15335,000000015335.jpg,"The image depicts a family gathered around a dining table, enjoying a meal together. There are three people in the scene, with one person on the left side, another in the middle, and the third person on the right side. A young boy is eating a piece of food, possibly a donut, while the others watch and engage in conversation.

The dining table is filled with various items, including a cup, a fork, a knife, and a spoon. There are also two bowls placed on the table, one near the center and the other closer to the right side. A chair is positioned near the table, and a handbag can be seen placed on the floor.",0.7778,True,bowl|cell phone|couch|cup|person,chair|cup|dining table|donut|fork|handbag|knife|person|spoon,chair|dining table|donut|fork|handbag|knife|spoon,5,9,7
